timestamp, x, y, z, qw, qx, qy, qz
0.1,-2.5477179511799388e-06,-1.8379024699289823e-06,40.00015660483349,-0.0002589404454188741,0.0001231715550088778,5.39811828731911e-05,0.999999957432322
0.2,-2.4365487856800227e-05,5.9386911251419324e-05,0.001754472785349584,-0.001984317199615942,7.584635541303168e-05,5.47351119737971e-05,0.9999980268663781
0.3,-6.35125980415047e-05,0.00046290197162951225,0.004656939542236609,-0.0033879802187978332,-1.5942227600347468e-05,4.91492734491242e-05,0.9999942594436387
0.4,-0.00010077735120435821,0.0014742826334803699,0.008396353688888187,-0.004311893161552176,-0.00012508502064057327,4.312334011857971e-05,0.9999906949924476
0.5,-0.00011114421868967533,0.0032682936311766164,0.012707389680046156,-0.004813068725292334,-0.00024127979829730367,3.718598239021165e-05,0.9999883873179265
0.6,-6.698965157179521e-05,0.005943165874401817,0.01738550034232306,-0.00497282665579303,-0.0003575653527121918,3.1467177091900045e-05,0.9999875709987033
0.7,5.95072380143341e-05,0.009536881634989145,0.022270675692640813,-0.00486748679946293,-0.0004691888143895991,2.5946076959114806e-05,0.9999880433089761
0.8,0.00029465816118020714,0.014041015545891334,0.027236869714091363,-0.004561921573389951,-0.0005728959779949526,2.0558541586565154e-05,0.9999894300636898
0.9,0.0006621421859527535,0.01941223359019814,0.032183294486367274,-0.004123749056670303,-0.0006664796501470861,1.5246348817358115e-05,0.9999912750950092
1.0,0.0011823370099468802,0.025582286325451578,0.037028422711692086,-0.0036004823287035304,-0.0007484877212249444,9.969063738975778e-06,0.999993238074013
1.1,0.0018719859005996758,0.032466204539468156,0.04170546950093703,-0.003027333247081331,-0.0008180320576191434,4.708354072897024e-06,0.9999950830153091
1.2,0.002744105943269313,0.039968177600785346,0.046159298247707904,-0.0024308609737882124,-0.0008746615920712426,-5.332299733893994e-07,0.9999966629353026
1.3,0.0038080656627489436,0.04798597289008268,0.05034439258500991,-0.0018313148829154796,-0.0009182749401854819,-5.7356866142022045e-06,0.999997901509816
1.4,0.005069778078771101,0.05641434479222361,0.05422359959392681,-0.0012441944031962035,-0.0009490567186403439,-1.086575334937943e-05,0.999998775576034
1.5,0.0065319692888056455,0.0651477199776403,0.057767396631679686,-0.0006813176846955564,-0.0009674275781330228,-1.588114614193305e-05,0.9999992998186963
1.6,0.008194493084704128,0.07408234760616489,0.06095348044226332,-0.0001515736992260775,-0.0009740019233174551,-2.0734491588567913e-05,0.9999995139577559
1.7,0.010054669649749397,0.08311804004457772,0.0637665204168425,0.00033853258421546225,-0.0009695499638885145,-2.53767779802159e-05,0.9999994723621488
1.8,0.012107631831407452,0.09215958739395846,0.066197957347752,0.0007844708950613098,-0.0009549624926581871,-2.9760249593504826e-05,0.9999992358828981
1.9,0.014346666512572733,0.10111790018175673,0.06824576449582548,0.0011833656119965826,-0.0009312178691937629,-3.384072581923449e-05,0.9999988656663135
2.0,0.01676354171420131,0.10991091498040208,0.06991411894909534,0.0015337345679029832,-0.000899351288219642,-3.7579361896674514e-05,0.9999984187054134
2.1,0.019348812592002655,0.11846428508145845,0.07121295771418079,0.0018352673185866996,-0.0008604266768718504,-4.094389011380668e-05,0.9999979448895886
2.2,0.022092101636424045,0.1267118710355331,0.07215741442933178,0.002088630962188816,-0.0008155116103382556,-4.3909393888504044e-05,0.9999974853135793
2.3,0.024982350243356526,0.13459604254814808,0.07276714888398914,0.002295296569665665,-0.0007656555522422582,-4.645867467639241e-05,0.9999970716091243
2.4,0.028008040423180697,0.14206780275199388,0.07306559279365017,0.002457382462838645,-0.0007118715822281527,-4.858227474380008e-05,0.9999967260696628
2.5,0.03115738672596681,0.14908671801247753,0.07307914171257925,0.0025793032822934367,-0.0006551217322044671,-5.027789845506259e-05,0.9999964577348397
2.6,0.034418498954426,0.15562070215479207,0.07283576621215489,0.0026643522302844157,-0.0005963058931379913,-5.155011248076537e-05,0.9999962714875795
2.7,0.037779518289317846,0.1616454182365917,0.07236456864938555,0.002713169271366521,-0.0005362530139846516,-5.2408672927460544e-05,0.999996174191952
2.8,0.04122871840802403,0.1671437343376658,0.07169579254059917,0.0027307008915121206,-0.0004757325534594864,-5.2975016692926975e-05,0.999996157065029
2.9,0.044754592941312815,0.17210561413168549,0.07085925429619316,0.0027171710879977094,-0.000415383584176095,-5.312676428678966e-05,0.9999962208005105
3.0,0.04834600770743477,0.17652786508002538,0.06988540222578872,0.0026670333392672155,-0.0003557963636669138,-5.2827101545462835e-05,0.9999963787691495
3.1,0.05199221058060903,0.1804139233090635,0.06880653027736262,0.0025931651914616353,-0.00029749078720535735,-5.211751349938658e-05,0.9999965921328362
3.2,0.05568284426167408,0.18377373337948466,0.06764976763516883,0.0025206998261955043,-0.0002409251348660075,-5.118380094958238e-05,0.9999967926986987
3.3,0.059407930555851286,0.1866217268164233,0.06643188742740305,0.0024279588412981098,-0.00018645501456456546,-5.0060245515367536e-05,0.9999970338677832
3.4,0.06315796863976786,0.18897293252336692,0.06517644088595684,0.002318473362938621,-0.0001343596048225228,-4.871694433996069e-05,0.9999973021240715
3.5,0.06692396757507352,0.1908465556478114,0.06390442667210078,0.002197591159374677,-8.486229358278424e-05,-4.718519874190107e-05,0.9999975805795954
3.6,0.07069743330852496,0.19226508649104695,0.06263337887290672,0.0020691315443165563,-3.812664177385514e-05,-4.549751488753964e-05,0.9999978575831988
3.7,0.0744703722493774,0.19325324036059188,0.0613778185205842,0.0019360440443682125,5.738395001309005e-06,-4.368596188302758e-05,0.9999981248942749
